SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo3556.67,197.255433938,17550
grafo3557.68,225.935703602,390625
grafo3560.77,58.827200797,675
grafo3567.56,49.671892376,1425
grafo3570.27,50.476825947,18125
grafo3574.24,252.207910504,1908395944
grafo3575.38,264.820885463,117632350
grafo3583.78,34.784353427,675
grafo3585.25,193.725488182,567000
grafo358.99,54.914100514,625
grafo3592.13,71.709963891,17550
grafo359.80,231.335757222,2535750
grafo3601.71,185.197524344,17550
grafo3602.58,45.339753407,625
grafo3603.98,282.16672389,167552
grafo3605.67,214.448374647,15925000
grafo3609.58,163.623909838,691538200
grafo3610.72,327.249268457,8233920
grafo3615.66,194.713616069,438750
grafo3622.48,75.654707247,16250
grafo3624.47,326.406409973,855000000
grafo3627.40,239.631207254,61320000
grafo3630.38,201.498501496,406250
grafo3631.72,97.240170894,4928
grafo363.34,251.349370299,14062500
grafo3633.59,176.478256913,858
grafo3638.22,34.982409842,675
grafo3644.70,45.330703351,1200
grafo3645.27,163.164765272,3856200
grafo3659.52,61.923369946,650
grafo3666.15,287.900588781,9860000
grafo366.70,51.746609631,625
grafo3671.20,34.356467055,675
grafo3682.16,189.050571188,243360
grafo3685.65,141.411187884,27950
grafo3688.17,210.389589736,67232256
grafo369.17,323.487854271,1097286870150
grafo3693.36,89.397616774,25110625
grafo3695.90,180.074975406,220350
grafo3698.77,241.564373561,9360000
grafo3701.43,194.981904366,508950
grafo3708.29,84.771710091,615725
grafo3711.27,121.115295964,2509936875
grafo3712.86,29.026843313,625
grafo3713.39,105.269081041,27300
grafo3719.91,172.401707553,390625
grafo3723.29,300.007523977,108819783321480
grafo3726.80,108.70144983,780
grafo3729.50,96.163665111,584064
grafo3730.79,142.719275854,625300
grafo3737.29,221.300497023,1232000
grafo3744.41,211.071180849,12090000
grafo3749.47,47.326911994,17523
grafo3752.68,110.890987622,660450
grafo3757.40,179.823254898,725
grafo3759.50,260.112717148,4017396940560
grafo3773.60,208.716870606,11793600
grafo3774.16,281.181780312,4247730140625
grafo3778.13,62.682847568,16250
grafo3780.78,224.015527597,17988750
grafo3781.16,314.161306656,38454512832900
grafo3783.90,95.13097402299999,15625
grafo3786.16,309.965557716,13383762975
grafo3789.97,57.180105896,16250
grafo3796.44,119.407965057,700
grafo3797.61,265.991217204,3437500
grafo3805.13,155.05871478,2695248750
grafo3811.93,268.92111496,17907500
grafo3814.97,31.05417418,625
grafo3815.33,139.941173094,725
grafo3822.53,200.84627524,484375
grafo3827.86,175.420253227,750
grafo382.79,67.975372251,18200
grafo3828.35,92.410578484,783
grafo3833.58,47.43046793,11132
grafo3842.75,185.724500034,26875
grafo3843.13,239.983509774,10968750
grafo3845.65,315.660495258,26758781250
grafo3850.68,182.267717802,18200
grafo3852.41,45.066306889,800
grafo3859.16,47.361303158,625
grafo3865.44,166.939747034,520000
grafo3870.18,101.956265933,96140000
grafo3873.76,202.085774684,5808400
grafo3877.98,99.793631922,16250
grafo3887.64,98.660981296,15625
grafo3888.22,153.315049883,1278900
grafo3892.53,43.641099733,675
grafo3904.49,41.265150135,625
grafo3911.41,219.453368234,17609375
grafo3912.98,71.270961419,625
grafo3914.99,69.50240907,15625
grafo3916.30,290.639709926,805447906250
grafo3917.74,204.190989349,421875
grafo3921.19,313.755693663,28653495650
